pID,condition,identify,age,ComputerExperience,GamesExperience,VideoEditingExperience,VideoComparisonExperience,VisualizationExperience,VisualizationComparisonExperience,LineChartExperience,BarChartExperience,ScatterplotExperience,AreaChartExperience,PieChartExperience,BoxWhiskerExperience
2,smallmultiples_overlays_shadowmarks,Woman,46,45,15,0,0,0,0,1,1,,,1,
5,overlays_shadowmarks_smallmultiples,Woman,46,30,0,0,0,5,5,1,1,1,1,1,1
6,shadowmarks_smallmultiples_overlays,Woman,34,50,6,0,0,0,0,1,1,1,1,1,1
7,shadowmarks_overlays_smallmultiples,Woman,42,90,0,0,0,0,0,1,1,,,1,
8,smallmultiples_overlays_shadowmarks,Woman,19,6,1,0,8,2,3,1,1,1,,1,1
9,smallmultiples_shadowmarks_overlays,Man,34,6,3,0,1,0,1,1,1,1,1,1,
11,overlays_smallmultiples_shadowmarks,Man,30,30,40,5,2,5,2,,1,1,,1,
15,shadowmarks_smallmultiples_overlays,Man,36,48,12,2,0,0,0,1,1,,,1,
16,overlays_smallmultiples_shadowmarks,Woman,33,45,10,3,5,4,3,1,1,,1,1,
18,smallmultiples_overlays_shadowmarks,Man,36,35,15,0,5,0,0,1,,,,1,
19,smallmultiples_shadowmarks_overlays,Man,29,20,10,5,5,2,2,1,1,1,,1,
20,overlays_smallmultiples_shadowmarks,Man,29,15,3,0,0,0,0,1,1,,,1,
21,overlays_shadowmarks_smallmultiples,Man,32,30,10,6,2,1,0,1,1,1,,1,
22,shadowmarks_smallmultiples_overlays,Woman,49,40,15,0,0,0,0,1,1,,,1,
24,shadowmarks_overlays_smallmultiples,Man,32,20,10,0,1,0,1,1,1,,1,1,
25,smallmultiples_shadowmarks_overlays,Man,25,15,2,1,1,2,1,1,1,1,1,1,1
26,smallmultiples_shadowmarks_overlays,Man,40,50,40,0,0,20,0,1,1,,,1,
27,shadowmarks_overlays_smallmultiples,Man,28,0,0,0,0,0,0,1,1,1,1,1,
28,smallmultiples_overlays_shadowmarks,Woman,19,28,26,0,0,0,0,1,1,1,,1,
31,overlays_shadowmarks_smallmultiples,Woman,19,45,5,0,0,0,0,1,1,1,1,1,1
35,overlays_shadowmarks_smallmultiples,Woman,34,35,0,0,0,7,0,1,1,1,1,1,1
36,smallmultiples_overlays_shadowmarks,Man,27,56,30,2,0,0,0,,1,,,1,
39,smallmultiples_overlays_shadowmarks,Woman,19,20,0,1,3,2,1,1,1,1,,1,
40,smallmultiples_shadowmarks_overlays,Man,29,0,8,2,0,6,8,1,1,,,1,
45,overlays_smallmultiples_shadowmarks,Man,46,20,5,4,5,1,2,,1,,,1,
47,overlays_shadowmarks_smallmultiples,Woman,56,35,1,0,0,0,0,1,1,,,1,
52,overlays_shadowmarks_smallmultiples,Woman,25,15,0,0,0,0,0,1,1,1,,1,
54,shadowmarks_smallmultiples_overlays,Man,27,45,0,2,4,6,0,,,,,,
57,overlays_smallmultiples_shadowmarks,Woman,38,45,8,0,0,0,0,1,1,1,,1,
60,overlays_shadowmarks_smallmultiples,Man,21,40,10,2,2,8,8,1,1,1,1,1,1
62,shadowmarks_overlays_smallmultiples,Woman,25,51,0,0,0,0,0,1,1,1,,1,
65,overlays_shadowmarks_smallmultiples,Woman,36,60,10,0,0,0,3,,1,,,1,
66,shadowmarks_overlays_smallmultiples,Woman,21,30,3,0,0,0,0,1,1,1,,1,1
67,shadowmarks_overlays_smallmultiples,Man,39,20,25,0,0,0,0,1,1,1,1,1,
75,shadowmarks_smallmultiples_overlays,Man,37,25,5,0,0,0,0,1,1,1,,1,
