pID,condition,task,interaction,trial,attempt,dataset,category,videos,selectedVideos,correctVideos,difference1,difference2,loadTime,elapsedTime,totalCorrect,falseNegatives,falsePositives,incompleteTrial
3,2,1,smallMultiples,0,1,lemnatec,sunflower,sunflower0-2;sunflower0-3;sunflower0-1;sunflower0-8;sunflower0-5;sunflower0-7;sunflower0-6;sunflower0-4;sunflower0-9;,sunflower0-5;,sunflower0-9;,0.013600000000000001,-1,13225,31219,0,1,1,false
3,2,1,smallMultiples,0,2,lemnatec,sunflower,sunflower0-2;sunflower0-3;sunflower0-1;sunflower0-8;sunflower0-5;sunflower0-7;sunflower0-6;sunflower0-4;sunflower0-9;,sunflower0-9;,sunflower0-9;,0,-1,13225,37089,1,0,0,false
3,2,1,smallMultiples,1,1,lemnatec,sunflower,sunflower8-144;sunflower9-144;sunflower9-0;sunflower5-0;sunflower6-216;sunflower4-144;sunflower7-216;sunflower6-0;sunflower4-216;,sunflower7-216;,sunflower6-216;,0.008900000000000019,-1,12923,18156,0,1,1,false
3,2,1,smallMultiples,1,2,lemnatec,sunflower,sunflower8-144;sunflower9-144;sunflower9-0;sunflower5-0;sunflower6-216;sunflower4-144;sunflower7-216;sunflower6-0;sunflower4-216;,sunflower5-0;,sunflower6-216;,0.012300000000000033,-1,12923,21679,0,1,1,false
3,2,1,smallMultiples,1,3,lemnatec,sunflower,sunflower8-144;sunflower9-144;sunflower9-0;sunflower5-0;sunflower6-216;sunflower4-144;sunflower7-216;sunflower6-0;sunflower4-216;,sunflower4-216;,sunflower6-216;,0.0021999999999999797,-1,12923,30636,0,1,1,false
3,2,1,smallMultiples,1,4,lemnatec,sunflower,sunflower8-144;sunflower9-144;sunflower9-0;sunflower5-0;sunflower6-216;sunflower4-144;sunflower7-216;sunflower6-0;sunflower4-216;,sunflower6-0;,sunflower6-216;,0.004200000000000037,-1,12923,33210,0,1,1,false
3,2,1,smallMultiples,1,5,lemnatec,sunflower,sunflower8-144;sunflower9-144;sunflower9-0;sunflower5-0;sunflower6-216;sunflower4-144;sunflower7-216;sunflower6-0;sunflower4-216;,sunflower7-216;,sunflower6-216;,0.008900000000000019,-1,12923,35454,0,1,1,false
3,2,1,smallMultiples,1,6,lemnatec,sunflower,sunflower8-144;sunflower9-144;sunflower9-0;sunflower5-0;sunflower6-216;sunflower4-144;sunflower7-216;sunflower6-0;sunflower4-216;,sunflower4-144;,sunflower6-216;,0.0030000000000000027,-1,12923,37709,0,1,1,false
3,2,1,smallMultiples,1,7,lemnatec,sunflower,sunflower8-144;sunflower9-144;sunflower9-0;sunflower5-0;sunflower6-216;sunflower4-144;sunflower7-216;sunflower6-0;sunflower4-216;,sunflower6-216;,sunflower6-216;,0,-1,12923,40214,1,0,0,false
3,2,1,smallMultiples,2,1,lemnatec,sunflower,sunflower3-144;sunflower19-144;sunflower16-0;sunflower19-0;sunflower3-216;sunflower19-216;sunflower20-144;sunflower20-0;sunflower16-216;,sunflower20-144;,sunflower20-144;,0,-1,12265,28389,1,0,0,false
9,2,1,smallMultiples,0,1,lemnatec,sunflower,sunflower0-2;sunflower0-3;sunflower0-1;sunflower0-8;sunflower0-5;sunflower0-7;sunflower0-6;sunflower0-4;sunflower0-9;,sunflower0-9;,sunflower0-9;,0,-1,4926,92282,1,0,0,false
9,2,1,smallMultiples,1,1,lemnatec,sunflower,sunflower20-0;sunflower16-216;sunflower16-0;sunflower19-0;sunflower20-216;sunflower3-0;sunflower3-216;sunflower19-216;sunflower3-144;,sunflower20-216;,sunflower20-216;,0,-1,4178,39548,1,0,0,false
9,2,1,smallMultiples,2,1,lemnatec,sunflower,sunflower4-216;sunflower9-0;sunflower5-0;sunflower4-144;sunflower7-216;sunflower8-144;sunflower6-216;sunflower9-144;sunflower5-216;,sunflower9-144;,sunflower6-216;,0.0121,-1,4553,39881,0,1,1,false
9,2,1,smallMultiples,2,2,lemnatec,sunflower,sunflower4-216;sunflower9-0;sunflower5-0;sunflower4-144;sunflower7-216;sunflower8-144;sunflower6-216;sunflower9-144;sunflower5-216;,sunflower5-0;,sunflower6-216;,0.012300000000000033,-1,4553,44089,0,1,1,false
9,2,1,smallMultiples,2,3,lemnatec,sunflower,sunflower4-216;sunflower9-0;sunflower5-0;sunflower4-144;sunflower7-216;sunflower8-144;sunflower6-216;sunflower9-144;sunflower5-216;,sunflower7-216;,sunflower6-216;,0.008900000000000019,-1,4553,58235,0,1,1,false
9,2,1,smallMultiples,2,4,lemnatec,sunflower,sunflower4-216;sunflower9-0;sunflower5-0;sunflower4-144;sunflower7-216;sunflower8-144;sunflower6-216;sunflower9-144;sunflower5-216;,sunflower8-144;,sunflower6-216;,0.007800000000000029,-1,4553,61846,0,1,1,false
9,2,1,smallMultiples,2,5,lemnatec,sunflower,sunflower4-216;sunflower9-0;sunflower5-0;sunflower4-144;sunflower7-216;sunflower8-144;sunflower6-216;sunflower9-144;sunflower5-216;,sunflower5-216;,sunflower6-216;,0.0126,-1,4553,73689,0,1,1,false
9,2,1,smallMultiples,2,6,lemnatec,sunflower,sunflower4-216;sunflower9-0;sunflower5-0;sunflower4-144;sunflower7-216;sunflower8-144;sunflower6-216;sunflower9-144;sunflower5-216;,sunflower6-216;,sunflower6-216;,0,-1,4553,82894,1,0,0,false
