,participantID,externalID,condition,duration,finished,demographics_identify_1,demographics_identify_2,demographics_age_1,demographics_computer_experience_1,demographics_games_experience_1,demographics_video_editing_experience_1,demographics_video_comparison_experience_1,demographics_visualization_experience_1,demographics_visualization_comparison_experience_1,demographics_line_chart_1,demographics_bar_chart_1,demographics_scatter_plot_1,demographics_area_chart_1,demographics_pie_chart_1,demographics_box_and_whisker_plot_1,demographics_data_visualizations_1,demographics_cvd_1,demographics_cvd_type_1,demographics_vision_ability_1,demographics_vision_ability_type_1,demographics_duration,summary3_speed_1,summary3_speed_reason_1,summary3_accuracy_1,summary3_accuracy_reason_1,summary3_preference_1,summary3_preference_reason_1,summary3_comments_1,summary3_duration,nasa-tlx/smallmultiples3_slider_1,nasa-tlx/smallmultiples3_slider_2,nasa-tlx/smallmultiples3_slider_3,nasa-tlx/smallmultiples3_slider_4,nasa-tlx/smallmultiples3_slider_5,nasa-tlx/smallmultiples3_slider_6,nasa-tlx/smallmultiples3_slider_7,nasa-tlx/smallmultiples3_slider_8,nasa-tlx/smallmultiples3_slider_9,nasa-tlx/smallmultiples3_slider_10,nasa-tlx/smallmultiples3_duration,nasa-tlx/overlays3_slider_1,nasa-tlx/overlays3_slider_2,nasa-tlx/overlays3_slider_3,nasa-tlx/overlays3_slider_4,nasa-tlx/overlays3_slider_5,nasa-tlx/overlays3_slider_6,nasa-tlx/overlays3_slider_7,nasa-tlx/overlays3_slider_8,nasa-tlx/overlays3_slider_9,nasa-tlx/overlays3_slider_10,nasa-tlx/overlays3_duration,nasa-tlx/shadowMarkers3_slider_1,nasa-tlx/shadowMarkers3_slider_2,nasa-tlx/shadowMarkers3_slider_3,nasa-tlx/shadowMarkers3_slider_4,nasa-tlx/shadowMarkers3_slider_5,nasa-tlx/shadowMarkers3_slider_6,nasa-tlx/shadowMarkers3_slider_7,nasa-tlx/shadowMarkers3_slider_8,nasa-tlx/shadowMarkers3_slider_9,nasa-tlx/shadowMarkers3_slider_10,nasa-tlx/shadowMarkers3_duration
0,3,63bc6a555fb0c2b39bc9cbcd,smallmultiples_overlays_shadowmarks,1024.734749,True,Woman,,26,40,20,0,0,0,10,1,1,1,1,1,1,0,No,,Yes,,53.974965,Shadow Marks,The shadow marks was much easier because you had a clear point of reference to compare and you could watch frame by frame. ,Shadow Marks,The point of reference allowed me to complete the task with the least amount of incorrect. I didn't have to guess with this.,Shadow Marks,I found this technique to be the most relaxing and easiest. ,,91.404983,7,2,2,5,7,7,5,7,7,7,26.739023,7,7,1,7,7,7,7,1,7,7,23.952968,3,3,1,3,3,1,1,7,3,2,21.29475
1,4,66c535b047ab0893183e06d8,smallmultiples_shadowmarks_overlays,3228.298206,True,Man,,38,40,6,0,1,1,3,,1,1,,1,,0,No,,No,,156.505453,Shadow Marks,It provides me with an idea of the approximate distance of the pitcher,Overlays,It allows me to be able to make some comparison,Shadow Marks,It help reduced my guess work,,313.400832,6,3,3,6,7,7,7,1,7,6,58.796164,6,3,3,5,5,5,5,5,6,5,29.338368,6,2,2,5,6,5,5,5,5,5,51.487821
2,8,66b7ba460ae563c9d05c58c2,smallmultiples_shadowmarks_overlays,2226.126219,True,Man,,21,84,50,0,0,0,0,1,1,1,,1,,0,No,,Yes,,85.295797,Shadow Marks,I believe this technique seemed the most intuitive with the instructions. The other methods took me way longer to understand.,Shadow Marks,The shadow marks made it easy to compare with the other videos.,Shadow Marks,"It was the easiest to understand with the instructions, and it allowed me to have a perfect score for that test.","I think to make the instructions easier to understand. For example, I didn't really understand what ""'close' means the length of the ball"" meant.",288.636005,6,1,5,7,7,3,5,1,7,6,32.362548,5,1,4,5,5,4,5,3,5,5,52.392504,2,1,1,1,2,1,1,7,1,1,20.387074
3,10,66a641b50cc3558ad9b5448e,overlays_shadowmarks_smallmultiples,1655.692283,True,Man,,20,70,5,0,0,0,0,1,1,1,,1,,0,No,,Yes,,47.572983,Shadow Marks,The marks made it easy to see when the balls were being released at the closest time which allowed to do the tasks fast. This method was also most easy to understand,Shadow Marks,The marks were the most accurate method of seeing  when the balls were being released at the closest time and it allowed me to do it the most accurately without having to guess,Shadow Marks,This method was easiest to understand and use. I also found it the most accurate and was able to finish the task the fastest with this method.,,141.166928,5,3,3,5,5,5,5,3,5,3,16.945024,5,3,3,6,5,5,5,3,5,4,42.167257,4,3,3,3,3,3,3,5,4,3,30.166583
4,14,63d00622fd37f382d3ce2ec1,shadowmarks_overlays_smallmultiples,2185.310532,True,Man,,28,35,14,1,0,0,0,1,1,,,1,,0,No,,Yes,,127.20297,Shadow Marks,I could compare quickly with the use of the dot,Shadow Marks,It's more accurate at pinpointing the ball,Shadow Marks,Overlays were hard to see and multiples made me do a lot of guess work.,,129.008069,7,4,2,6,6,7,6,4,7,6,44.364053,5,3,1,3,6,2,2,6,5,5,48.544417,2,2,1,1,2,1,1,7,1,1,47.677495
5,15,6682a3860d01cd91ebd35d11,overlays_smallmultiples_shadowmarks,1089.650617,True,Woman,,28,30,10,0,0,5,1,,1,,,1,,0,No,,Yes,,39.702621,Small Multiples,Dude I don't think I did better with any of these. I feel like all of this was difficult to complete.,Small Multiples,I kept getting only 1 correct and had to rewind a bunch to find the second.,Small Multiples,All I know is that the overlap and shadow markers were awful to do. ,,83.952003,7,1,1,7,7,7,7,1,7,7,14.584969,7,2,1,4,7,7,2,2,7,7,24.084281,7,1,1,7,7,7,7,1,7,7,18.099245
6,22,663ab8a4d5bff4596f9a9de7,smallmultiples_overlays_shadowmarks,1472.370768,True,Woman,,20,80,50,0,0,0,0,1,1,1,1,1,1,0,No,,Yes,,56.908537,Shadow Marks,It showed me where the ball was being thrown and how it started. I couldn't tell with the other ones as easily.,Shadow Marks,I could accurately see where the ball was being thrown.,Shadow Marks,I like being able to mark where the ball is starting to be thrown.,,61.124623,6,6,5,6,6,3,7,2,6,7,26.454246,5,5,5,4,5,2,4,4,4,3,23.699599,5,5,5,3,5,1,3,5,3,3,23.632768
7,24,66b921226f8a3ea4bdf45279,overlays_shadowmarks_smallmultiples,1902.795465,True,Man,,34,6,4,0,0,0,0,1,1,,,,,0,No,,Yes,,51.749036,Shadow Marks,I could align the pitcher release points easier and see how similar each one was.,Overlays,I could align the pitchers off of stance and seeing their release points simultaneously helped.,Overlays,Easier recognition and being able to place multiple images together to compare is better for visibility,,111.692774,6,2,2,3,6,2,5,3,5,3,24.28459,5,5,3,4,5,2,3,3,5,5,26.903433,6,6,3,5,5,3,2,2,5,3,22.852518
8,27,5eeaea0a6580b822119e959f,shadowmarks_smallmultiples_overlays,1175.931685,True,Man,,34,50,10,1,1,2,2,1,1,1,,1,,0,No,,Yes,,50.574897,Shadow Marks,you could mark the pitch release point and easily identify where the others lined up on similar camera shots,Shadow Marks,you could mark the pitch release point and easily identify where the others lined up on similar camera shots,Overlays,It was fun,,42.664728,6,1,1,5,7,2,3,3,7,1,23.680978,6,1,1,2,6,1,3,6,5,1,19.008303,5,1,1,1,6,1,1,6,3,1,26.491581
9,28,668c501661675408e9b25ece,shadowmarks_overlays_smallmultiples,2035.118446,True,Woman,,30,35,1,0,1,1,1,1,1,,,1,,0,No,,Yes,,64.319569,Small Multiples,Easiest to compare videos,Overlays,Because I got the correct answers the quickest. Easier side-by-side comparison,Overlays,Most accurate,Nope! Cool study.,46.956764,2,1,3,2,5,5,5,2,2,2,19.279971,3,1,2,2,5,5,5,2,5,3,19.674298,5,1,1,3,5,6,5,3,6,3,43.753823
10,35,662ad9c7673f1b65868e47de,shadowmarks_smallmultiples_overlays,2135.933985,True,Woman,,32,12,0,0,5,12,12,1,1,,,1,,0,No,,Yes,,74.142687,Shadow Marks,because it was easier to visualize,Shadow Marks,Because is the easiest to understand,Shadow Marks,Easier to identify and learn,no,79.87668,5,2,3,5,5,4,3,3,5,3,26.86895,5,2,3,5,3,5,3,3,5,3,29.18041,6,2,3,5,3,4,2,4,4,3,40.519828
11,36,6660c807184fe281c748af92,smallmultiples_overlays_shadowmarks,3254.983747,True,Woman,,31,80,6,2,1,40,40,1,1,,,1,,0,No,,Yes,,146.523176,Shadow Marks,it was quicker with the marks for me,Overlays,made it visibly easier,Shadow Marks,it was quicker with the marks for me,,130.380604,5,5,4,4,4,1,2,3,4,3,54.724088,4,4,2,4,4,1,2,4,4,1,37.435997,4,4,4,4,4,1,4,4,4,2,38.630704
12,37,664cfd3d300bbbdd870cd4f7,smallmultiples_overlays_shadowmarks,967.292891,True,Woman,,32,30,0,2,0,0,0,1,1,,,1,,0,No,,Yes,,41.842609,Shadow Marks,I could really see where the ball was,Shadow Marks,I could see it better,Shadow Marks,It was easiest for me,,30.044939,6,4,2,5,6,5,4,7,6,5,22.578089,5,4,2,5,6,5,4,7,5,5,21.242131,5,4,3,4,6,5,4,5,5,4,20.280136
13,38,5f4ee7ff2c5da213f015a27e,smallmultiples_shadowmarks_overlays,2056.548335,True,Woman,,38,60,2,0,0,2,1,1,1,1,1,1,,0,No,,Yes,,181.046441,Shadow Marks,IT was easiest to see the ball and see if it was closest,Shadow Marks,It was easy to see whether or not it was close to the mark/first video,Shadow Marks,IT was easiest to see and compare,no,108.584245,6,1,4,4,7,6,4,4,5,5,36.46036,7,5,4,4,7,6,4,4,5,4,31.67941,3,1,4,1,3,1,1,7,2,2,26.253532
14,41,65b92135e296f28cb1a093c3,shadowmarks_smallmultiples_overlays,2524.579385,True,Man,,66,40,0,0,0,0,0,,1,1,,1,,0,No,,Yes,,65.440369,Overlays,It allowed for direct one on one comparison,Overlays,Direct one on one comparison.,Overlays,"Same answer, the ability to comp[are videos directly one on one.",Using the mark was not to bad but the middle technique was hardest.,124.154918,7,1,7,3,7,7,5,6,7,4,38.567152,6,1,6,1,5,5,5,7,6,4,33.428042,6,1,6,2,6,6,3,5,7,6,41.258481
