pID,condition,task,interaction,trial,attempt,event,timestamp,mx,my,hoverTarget,index,overlaidVideos,selectedVideos,shadowMarks,shadowMarkMode,shadowMarkColour
3,1,3,smallMultiples,0,1,toggled_autoplayback,0,71.02264752791069,113,NONE,0,0,,0,NONE,NONE
3,1,3,smallMultiples,0,1,toggled_autoplayback,5681,685.2185007974482,400,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,0,1,toggled_autoplayback,14212,685.2185007974482,400,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,0,1,toggled_autoplayback,19310,685.2185007974482,400,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,0,1,toggled_autoplayback,25985,685.2185007974482,400,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,0,1,toggled_autoplayback,30796,685.2185007974482,400,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,0,1,toggled_autoplayback,35505,685.2185007974482,400,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,0,1,toggled_autoplayback,41407,685.2185007974482,400,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,0,1,toggled_autoplayback,53031,685.2185007974482,400,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,0,1,toggled_autoplayback,56903,685.2185007974482,400,NONE,77,0,,0,NONE,NONE
3,1,3,smallMultiples,0,1,toggled_autoplayback,57471,685.2185007974482,400,NONE,77,0,,0,NONE,NONE
3,1,3,smallMultiples,0,1,toggled_autoplayback,58433,685.2185007974482,400,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,0,1,mouse_moved,63625,306.09760765550243,503,ross_stripling,80,0,,0,NONE,NONE
3,1,3,smallMultiples,0,1,selected_video,67240,86.02743221690591,492,adrian_martinez,80,0,adrian_martinez;,0,NONE,NONE
3,1,3,smallMultiples,0,1,selected_video,68289,513.1636363636363,506,austin_pruitt,80,0,adrian_martinez;austin_pruitt;,0,NONE,NONE
3,1,3,smallMultiples,0,1,mouse_moved,68896,680.2169059011164,504,NONE,80,0,adrian_martinez;austin_pruitt;,0,NONE,NONE
3,1,3,smallMultiples,0,1,mouse_moved,72812,601.191706539075,461,NONE,80,0,adrian_martinez;austin_pruitt;,0,NONE,NONE
3,1,3,smallMultiples,0,1,submit,72976,601.191706539075,460,NONE,80,0,adrian_martinez;austin_pruitt;,0,NONE,NONE
3,1,3,smallMultiples,1,1,toggled_autoplayback,78724,778.2481658692185,443,NONE,0,0,,0,NONE,NONE
3,1,3,smallMultiples,1,1,toggled_autoplayback,83606,778.2481658692185,443,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,1,1,toggled_autoplayback,89435,778.2481658692185,443,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,1,1,toggled_autoplayback,94042,778.2481658692185,443,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,1,1,toggled_autoplayback,98031,778.2481658692185,443,NONE,79,0,,0,NONE,NONE
3,1,3,smallMultiples,1,1,toggled_autoplayback,98596,778.2481658692185,443,NONE,79,0,,0,NONE,NONE
3,1,3,smallMultiples,1,1,toggled_autoplayback,99361,778.2481658692185,443,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,1,1,toggled_autoplayback,104524,778.2481658692185,443,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,1,1,toggled_autoplayback,109457,778.2481658692185,443,NONE,80,0,,0,NONE,NONE
3,1,3,smallMultiples,1,1,mouse_moved,113836,484.1543859649123,401,zack_wheeler,80,0,,0,NONE,NONE
3,1,3,smallMultiples,1,1,selected_video,115654,396.1263157894737,364,drew_verhagen,80,0,drew_verhagen;,0,NONE,NONE
3,1,3,smallMultiples,1,1,toggled_autoplayback,116306,521.1661881977672,352,zack_wheeler,80,0,drew_verhagen;,0,NONE,NONE
3,1,3,smallMultiples,1,1,toggled_autoplayback,121133,749.2389154704945,430,NONE,80,0,drew_verhagen;,0,NONE,NONE
3,1,3,smallMultiples,1,1,toggled_autoplayback,125715,749.2389154704945,430,NONE,80,0,drew_verhagen;,0,NONE,NONE
3,1,3,smallMultiples,1,1,mouse_moved,130256,659.2102073365231,445,NONE,80,0,drew_verhagen;,0,NONE,NONE
3,1,3,smallMultiples,1,1,selected_video,131570,454.1448165869219,545,bryce_elder,80,0,drew_verhagen;bryce_elder;,0,NONE,NONE
3,1,3,smallMultiples,1,1,mouse_moved,133506,628.2003189792664,434,NONE,80,0,drew_verhagen;bryce_elder;,0,NONE,NONE
