,participantID,externalID,condition,duration,finished,demographics_identify_1,demographics_identify_2,demographics_age_1,demographics_computer_experience_1,demographics_games_experience_1,demographics_video_editing_experience_1,demographics_video_comparison_experience_1,demographics_visualization_experience_1,demographics_visualization_comparison_experience_1,demographics_line_chart_1,demographics_bar_chart_1,demographics_scatter_plot_1,demographics_area_chart_1,demographics_pie_chart_1,demographics_box_and_whisker_plot_1,demographics_data_visualizations_1,demographics_cvd_1,demographics_cvd_type_1,demographics_vision_ability_1,demographics_vision_ability_type_1,demographics_duration,summary4_speed_1,summary4_speed_reason_1,summary4_accuracy_1,summary4_accuracy_reason_1,summary4_preference_1,summary4_preference_reason_1,summary4_comments_1,summary4_duration,nasa-tlx/smallmultiples4_slider_1,nasa-tlx/smallmultiples4_slider_2,nasa-tlx/smallmultiples4_slider_3,nasa-tlx/smallmultiples4_slider_4,nasa-tlx/smallmultiples4_slider_5,nasa-tlx/smallmultiples4_slider_6,nasa-tlx/smallmultiples4_slider_7,nasa-tlx/smallmultiples4_slider_8,nasa-tlx/smallmultiples4_slider_9,nasa-tlx/smallmultiples4_slider_10,nasa-tlx/smallmultiples4_duration,nasa-tlx/overlays4_slider_1,nasa-tlx/overlays4_slider_2,nasa-tlx/overlays4_slider_3,nasa-tlx/overlays4_slider_4,nasa-tlx/overlays4_slider_5,nasa-tlx/overlays4_slider_6,nasa-tlx/overlays4_slider_7,nasa-tlx/overlays4_slider_8,nasa-tlx/overlays4_slider_9,nasa-tlx/overlays4_slider_10,nasa-tlx/overlays4_duration,nasa-tlx/shadowmarkers4_slider_1,nasa-tlx/shadowmarkers4_slider_2,nasa-tlx/shadowmarkers4_slider_3,nasa-tlx/shadowmarkers4_slider_4,nasa-tlx/shadowmarkers4_slider_5,nasa-tlx/shadowmarkers4_slider_6,nasa-tlx/shadowmarkers4_slider_7,nasa-tlx/shadowmarkers4_slider_8,nasa-tlx/shadowmarkers4_slider_9,nasa-tlx/shadowmarkers4_slider_10,nasa-tlx/shadowmarkers4_duration
0,3,62c5dc08e00a823760c8196d,smallmultiples_overlays_shadowmarks,1016.750974,True,Man,,37,5,0,0,0,0,0,1,,,,1,,0,No,,Yes,,61.235854,Shadow Marks,I found what looked like the highest point and then could easily discern if there was something higher from the mark.,Shadow Marks,I found what looked like the highest point and then could easily discern if there was something higher from the mark.,Shadow Marks,I found what looked like the highest point and then could easily discern if there was something higher from the mark. This made the task stress free and simple. The other techniques were very challenging.,,106.069065,7,1,6,4,7,5,6,3,6,1,45.062127,7,1,7,2,7,2,2,6,2,1,28.692712,1,1,7,1,5,1,1,7,1,1,23.090463
1,5,5fef10fbbf9ae41f48f739ee,overlays_smallmultiples_shadowmarks,1227.587494,True,Woman,,30,70,8,55,1,3,1,,1,1,,1,,0,No,,Yes,prescription glasses,84.208981,Shadow Marks,a lot easier to complete with a ruler like tool to compare between the different images,Shadow Marks,easier and much more straight forward task,Shadow Marks,easiest to complete and do ,thank you :) ,64.668521,6,1,4,4,7,2,6,7,7,6,33.081455,6,1,2,3,7,2,2,5,7,5,30.616737,5,1,1,1,7,2,1,7,1,2,26.807463
2,6,6605b8d9e293ad3cabb46279,overlays_shadowmarks_smallmultiples,996.230255,True,Woman,,56,10,5,0,0,0,0,1,1,1,1,1,1,0,No,,Yes,,44.984123,Shadow Marks,It was the easiest to compare across each data set,Shadow Marks,Because it put the marks across all levels rather than try to interpret where the axii were on the three levels,Shadow Marks,"Easiest, fastest, clearest",,72.430569,6,5,6,5,6,5,5,3,6,3,37.445363,5,3,5,2,5,2,3,6,6,2,45.643782,5,4,5,2,3,2,1,6,3,2,36.757682
3,9,5dd5cf719b6104585b6389b6,smallmultiples_overlays_shadowmarks,444.69291,True,Non-binary,,29,10,1,0,0,0,0,1,1,1,1,1,,0,No,,Yes,,27.655419,Shadow Marks,I could compare everything at once,Overlays,i could compare similar ones,Shadow Marks,it felt easiest and quickest,,41.438226,5,2,5,6,5,5,7,1,7,7,18.397484,5,1,3,5,5,4,2,5,3,3,17.310228,2,2,3,5,3,3,2,5,2,2,14.685028
4,10,66bbc8799ff38b7e55f382fd,smallmultiples_shadowmarks_overlays,1316.416717,True,Not on the list,Two-Spirit,32,14,6,0,0,0,0,1,1,1,,1,,0,No,,Yes,,68.411948,Shadow Marks,It broke up the data into easily digestible segments that were the least difficult to compare.,Shadow Marks,Because any data that fell above or below the shadow marks was instantly apparent to the eye.,Shadow Marks,It was the least mentally frustrating and physically demanding; the other techniques required a lot of squinting and double-checking.,,171.539528,5,3,5,5,5,3,6,3,5,3,50.522208,5,6,2,1,5,5,2,7,5,3,40.149121,2,2,2,1,2,2,1,7,2,2,32.513153
5,16,669292033e17ed44f8376cab,smallmultiples_overlays_shadowmarks,1503.633643,True,Woman,,37,10,4,0,0,1,1,1,1,,,1,,0,No,,Yes,,119.137861,Small Multiples,It was the easiest to understand what to do. ,Overlays,It was easier to see all the pictures and how the were different.,Small Multiples,This technique was the easiest for me to use.,No comments. ,95.530523,4,2,2,6,3,5,5,3,5,5,55.967286,6,2,2,7,6,6,6,2,6,6,39.772363,7,2,3,7,6,6,7,1,7,7,37.315704
6,18,660472157addb0d4918d3e6f,overlays_smallmultiples_shadowmarks,867.803824,True,Man,,18,50,13,0,1,5,6,1,1,,,1,,0,No,,Yes,,60.689724,Shadow Marks,I could place a line close to the top of one of them then just compare in my head the distance from that line to other plot points in the other graphs,Overlays,Overlays allow me to see more accurately where a plot point is due to the nature of the method.,Shadow Marks,It's just easier for me.,,87.974632,7,2,4,6,5,6,6,2,5,7,43.117136,5,1,5,3,5,3,3,5,1,5,28.787947,3,1,7,3,3,2,3,7,2,3,29.802482
7,21,66bb5b75a68f7a20bcd58400,shadowmarks_overlays_smallmultiples,1786.130337,True,Man,,35,50,5,0,0,0,0,1,1,1,1,1,,0,No,,Yes,,42.031635,Overlays,I think the overlay was by far the easiest as it took out the physical aspect.,Overlays,I felt this was on par with shadow marks but the fact it was in one place made it slightly better.,Overlays,By far the least taxing physically and mentally.,,160.567586,7,5,7,6,7,7,6,3,7,5,27.243912,6,6,6,2,6,5,1,6,3,5,23.726672,3,6,2,2,5,5,2,6,3,3,34.610712
8,27,6652663969df798e71daa55a,shadowmarks_smallmultiples_overlays,1371.370931,True,Woman,,30,40,5,2,0,0,0,1,1,1,1,1,,0,No,,Yes,,153.288882,Overlays,"It helped me to see differences visually within few seconds, then I just had to compare boxes few times just to make sure I'm selecting a correct box with higher outlier",Shadow Marks,"The lines helped me to see the correct answer, but it took more time to find an outlier I think was the highest, then I was looking through all the boxes to make sure it is the highest one",Overlays,"I didn't need to look for the highest outlier manually, I just clicked on 'the eye' and visually compared what I saw. For me it seemed like less work",,262.499818,7,2,1,5,6,2,3,3,5,1,33.878102,5,1,1,1,2,2,1,7,2,1,25.062379,6,2,2,2,2,5,2,6,3,2,42.262336
9,29,65abe02cb3834c258ca07ddd,overlays_shadowmarks_smallmultiples,1339.455413,True,Woman,,39,30,8,2,2,8,3,1,1,1,1,1,1,0,No,,Yes,,94.957229,Overlays,It made comparing each diagram with the next easily.,Shadow Marks,It made it easier to have a way to mark and compare each diagram,Shadow Marks,I prefer this the most because it gives the highest accuracy.,N/A,189.207069,3,5,3,5,3,5,5,5,3,3,33.110841,2,5,2,4,5,2,3,5,3,3,62.4579,3,5,3,3,3,3,2,5,5,3,32.683788
10,34,66b7b3df71ee40bb9aa17ffd,smallmultiples_shadowmarks_overlays,971.409863,True,Man,,37,50,2,0,0,2,10,1,1,1,1,1,,0,No,,Yes,,58.568643,Overlays,It was easier to compare the plots.,Overlays,Easier comparison,Overlays,Easier to compare two graphs instead of trying to look at all of them at once.,,64.123416,6,1,2,5,5,1,6,2,6,6,46.701264,1,1,1,2,2,1,1,6,2,1,23.339921,2,2,5,3,5,1,2,5,5,1,30.335488
