"","pID","condition","interaction","trial","attempt","selectedVideos","videos"
"1",10,2,"overlays",0,1,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"2",10,2,"overlays",1,1,"scatterplot-91;","scatterplot-23;scatterplot-75;scatterplot-89;scatterplot-82;scatterplot-65;scatterplot-91;scatterplot-38;scatterplot-88;scatterplot-24;"
"3",10,2,"overlays",2,1,"scatterplot-2;","scatterplot-24;scatterplot-75;scatterplot-12;scatterplot-1;scatterplot-41;scatterplot-19;scatterplot-32;scatterplot-26;scatterplot-2;"
"4",10,2,"shadowMarkers",0,1,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"5",10,2,"shadowMarkers",1,1,"scatterplot-66;","scatterplot-24;scatterplot-78;scatterplot-79;scatterplot-66;scatterplot-56;scatterplot-69;scatterplot-64;scatterplot-41;scatterplot-30;"
"6",10,2,"shadowMarkers",2,1,"scatterplot-63;","scatterplot-28;scatterplot-44;scatterplot-82;scatterplot-95;scatterplot-72;scatterplot-87;scatterplot-48;scatterplot-63;scatterplot-58;"
"7",10,2,"smallMultiples",0,1,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"8",10,2,"smallMultiples",1,1,"scatterplot-48;","scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;"
"9",10,2,"smallMultiples",1,10,"scatterplot-65;","scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;"
"10",10,2,"smallMultiples",1,11,"scatterplot-99;","scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;"
"11",10,2,"smallMultiples",1,2,"scatterplot-65;","scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;"
"12",10,2,"smallMultiples",1,3,"scatterplot-94;","scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;"
"13",10,2,"smallMultiples",1,4,"scatterplot-29;","scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;"
"14",10,2,"smallMultiples",1,5,"scatterplot-35;","scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;"
"15",10,2,"smallMultiples",1,6,"scatterplot-69;","scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;"
"16",10,2,"smallMultiples",1,7,"scatterplot-23;","scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;"
"17",10,2,"smallMultiples",1,8,"scatterplot-72;","scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;"
"18",10,2,"smallMultiples",1,9,"scatterplot-94;","scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;"
"19",10,2,"smallMultiples",2,1,"scatterplot-53;","scatterplot-58;scatterplot-57;scatterplot-94;scatterplot-79;scatterplot-40;scatterplot-21;scatterplot-53;scatterplot-75;scatterplot-30;"
"20",16,1,"overlays",0,1,"scatterplot-2;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"21",16,1,"overlays",0,2,"scatterplot-0;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"22",16,1,"overlays",0,3,"scatterplot-7;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"23",16,1,"overlays",0,4,"scatterplot-7;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"24",16,1,"overlays",0,5,"scatterplot-7;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"25",16,1,"overlays",0,6,"scatterplot-7;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"26",16,1,"overlays",0,7,"scatterplot-7;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"27",16,1,"overlays",0,8,"scatterplot-2;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"28",16,1,"overlays",1,1,"scatterplot-47;","scatterplot-25;scatterplot-61;scatterplot-58;scatterplot-5;scatterplot-89;scatterplot-47;scatterplot-64;scatterplot-26;scatterplot-10;"
"29",16,1,"overlays",1,2,"scatterplot-89;","scatterplot-25;scatterplot-61;scatterplot-58;scatterplot-5;scatterplot-89;scatterplot-47;scatterplot-64;scatterplot-26;scatterplot-10;"
"30",16,1,"overlays",1,3,"scatterplot-64;","scatterplot-25;scatterplot-61;scatterplot-58;scatterplot-5;scatterplot-89;scatterplot-47;scatterplot-64;scatterplot-26;scatterplot-10;"
"31",16,1,"overlays",1,4,"scatterplot-89;","scatterplot-25;scatterplot-61;scatterplot-58;scatterplot-5;scatterplot-89;scatterplot-47;scatterplot-64;scatterplot-26;scatterplot-10;"
"32",16,1,"overlays",1,5,"scatterplot-25;","scatterplot-25;scatterplot-61;scatterplot-58;scatterplot-5;scatterplot-89;scatterplot-47;scatterplot-64;scatterplot-26;scatterplot-10;"
"33",16,1,"overlays",1,6,"scatterplot-58;","scatterplot-25;scatterplot-61;scatterplot-58;scatterplot-5;scatterplot-89;scatterplot-47;scatterplot-64;scatterplot-26;scatterplot-10;"
"34",16,1,"overlays",1,7,"scatterplot-61;","scatterplot-25;scatterplot-61;scatterplot-58;scatterplot-5;scatterplot-89;scatterplot-47;scatterplot-64;scatterplot-26;scatterplot-10;"
"35",16,1,"overlays",1,8,"scatterplot-5;","scatterplot-25;scatterplot-61;scatterplot-58;scatterplot-5;scatterplot-89;scatterplot-47;scatterplot-64;scatterplot-26;scatterplot-10;"
"36",16,1,"overlays",2,1,"scatterplot-77;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
"37",16,1,"overlays",2,2,"scatterplot-83;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
"38",16,1,"overlays",2,3,"scatterplot-38;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
"39",16,1,"overlays",2,4,"scatterplot-40;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
"40",16,1,"overlays",2,5,"scatterplot-94;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
"41",16,1,"overlays",2,6,"scatterplot-79;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
"42",16,1,"overlays",2,7,"scatterplot-80;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
