"","pID","condition","trial","interaction","attempt","elapsedTime","selectedVideos","videos"
"1",3,1,1,"overlays",1,30375,"scatterplot-89;","scatterplot-39;scatterplot-33;scatterplot-89;scatterplot-55;scatterplot-56;scatterplot-23;scatterplot-19;scatterplot-30;scatterplot-75;"
"2",3,1,1,"overlays",2,61987,"scatterplot-55;","scatterplot-39;scatterplot-33;scatterplot-89;scatterplot-55;scatterplot-56;scatterplot-23;scatterplot-19;scatterplot-30;scatterplot-75;"
"3",3,1,1,"shadowMarkers",1,9208,"scatterplot-37;","scatterplot-12;scatterplot-87;scatterplot-83;scatterplot-4;scatterplot-56;scatterplot-37;scatterplot-6;scatterplot-68;scatterplot-24;"
"4",3,1,1,"smallMultiples",1,11028,"scatterplot-92;","scatterplot-61;scatterplot-92;scatterplot-12;scatterplot-89;scatterplot-70;scatterplot-1;scatterplot-68;scatterplot-72;scatterplot-17;"
"5",3,1,1,"smallMultiples",2,32650,"scatterplot-70;","scatterplot-61;scatterplot-92;scatterplot-12;scatterplot-89;scatterplot-70;scatterplot-1;scatterplot-68;scatterplot-72;scatterplot-17;"
"6",3,1,2,"overlays",1,18662,"scatterplot-65;","scatterplot-65;scatterplot-1;scatterplot-81;scatterplot-38;scatterplot-48;scatterplot-75;scatterplot-29;scatterplot-45;scatterplot-58;"
"7",3,1,2,"overlays",2,42253,"scatterplot-45;","scatterplot-65;scatterplot-1;scatterplot-81;scatterplot-38;scatterplot-48;scatterplot-75;scatterplot-29;scatterplot-45;scatterplot-58;"
"8",3,1,2,"shadowMarkers",1,9385,"scatterplot-76;","scatterplot-64;scatterplot-82;scatterplot-65;scatterplot-81;scatterplot-28;scatterplot-19;scatterplot-20;scatterplot-1;scatterplot-76;"
"9",3,1,2,"smallMultiples",1,11846,"scatterplot-25;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"10",3,1,2,"smallMultiples",2,14290,"scatterplot-44;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"11",3,1,2,"smallMultiples",3,25807,"scatterplot-12;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"12",3,1,2,"smallMultiples",4,31708,"scatterplot-17;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"13",3,1,2,"smallMultiples",5,34943,"scatterplot-1;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"14",3,1,2,"smallMultiples",6,54157,"scatterplot-44;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"15",3,1,2,"smallMultiples",7,77265,"scatterplot-25;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"16",5,3,1,"overlays",1,66341,"scatterplot-54;","scatterplot-68;scatterplot-10;scatterplot-32;scatterplot-21;scatterplot-16;scatterplot-90;scatterplot-64;scatterplot-25;scatterplot-54;"
"17",5,3,1,"overlays",2,76127,"scatterplot-25;","scatterplot-68;scatterplot-10;scatterplot-32;scatterplot-21;scatterplot-16;scatterplot-90;scatterplot-64;scatterplot-25;scatterplot-54;"
"18",5,3,1,"overlays",3,83287,"scatterplot-32;","scatterplot-68;scatterplot-10;scatterplot-32;scatterplot-21;scatterplot-16;scatterplot-90;scatterplot-64;scatterplot-25;scatterplot-54;"
