pID,condition,interaction,task,question,value
1,smallmultiples_overlays_shadowmarks,smallmultiples,4,MentalDemand,
1,smallmultiples_overlays_shadowmarks,smallmultiples,4,PhysicalDemand,
1,smallmultiples_overlays_shadowmarks,smallmultiples,4,TemporalDemand,
1,smallmultiples_overlays_shadowmarks,smallmultiples,4,Performance,
1,smallmultiples_overlays_shadowmarks,smallmultiples,4,Effort,
1,smallmultiples_overlays_shadowmarks,smallmultiples,4,Frustration,
1,smallmultiples_overlays_shadowmarks,smallmultiples,4,Guessing,
1,smallmultiples_overlays_shadowmarks,smallmultiples,4,PerceivedAccuracy,
1,smallmultiples_overlays_shadowmarks,smallmultiples,4,TaskDifficulty,
1,smallmultiples_overlays_shadowmarks,smallmultiples,4,TechniqueDifficulty,
1,smallmultiples_overlays_shadowmarks,overlays,4,MentalDemand,
1,smallmultiples_overlays_shadowmarks,overlays,4,PhysicalDemand,
1,smallmultiples_overlays_shadowmarks,overlays,4,TemporalDemand,
1,smallmultiples_overlays_shadowmarks,overlays,4,Performance,
1,smallmultiples_overlays_shadowmarks,overlays,4,Effort,
1,smallmultiples_overlays_shadowmarks,overlays,4,Frustration,
1,smallmultiples_overlays_shadowmarks,overlays,4,Guessing,
1,smallmultiples_overlays_shadowmarks,overlays,4,PerceivedAccuracy,
1,smallmultiples_overlays_shadowmarks,overlays,4,TaskDifficulty,
1,smallmultiples_overlays_shadowmarks,overlays,4,TechniqueDifficulty,
1,smallmultiples_overlays_shadowmarks,shadowmarkers,4,MentalDemand,
1,smallmultiples_overlays_shadowmarks,shadowmarkers,4,PhysicalDemand,
1,smallmultiples_overlays_shadowmarks,shadowmarkers,4,TemporalDemand,
1,smallmultiples_overlays_shadowmarks,shadowmarkers,4,Performance,
1,smallmultiples_overlays_shadowmarks,shadowmarkers,4,Effort,
1,smallmultiples_overlays_shadowmarks,shadowmarkers,4,Frustration,
1,smallmultiples_overlays_shadowmarks,shadowmarkers,4,Guessing,
1,smallmultiples_overlays_shadowmarks,shadowmarkers,4,PerceivedAccuracy,
1,smallmultiples_overlays_shadowmarks,shadowmarkers,4,TaskDifficulty,
1,smallmultiples_overlays_shadowmarks,shadowmarkers,4,TechniqueDifficulty,
2,smallmultiples_overlays_shadowmarks,smallmultiples,4,MentalDemand,
2,smallmultiples_overlays_shadowmarks,smallmultiples,4,PhysicalDemand,
2,smallmultiples_overlays_shadowmarks,smallmultiples,4,TemporalDemand,
2,smallmultiples_overlays_shadowmarks,smallmultiples,4,Performance,
2,smallmultiples_overlays_shadowmarks,smallmultiples,4,Effort,
2,smallmultiples_overlays_shadowmarks,smallmultiples,4,Frustration,
2,smallmultiples_overlays_shadowmarks,smallmultiples,4,Guessing,
2,smallmultiples_overlays_shadowmarks,smallmultiples,4,PerceivedAccuracy,
2,smallmultiples_overlays_shadowmarks,smallmultiples,4,TaskDifficulty,
2,smallmultiples_overlays_shadowmarks,smallmultiples,4,TechniqueDifficulty,
2,smallmultiples_overlays_shadowmarks,overlays,4,MentalDemand,
2,smallmultiples_overlays_shadowmarks,overlays,4,PhysicalDemand,
2,smallmultiples_overlays_shadowmarks,overlays,4,TemporalDemand,
2,smallmultiples_overlays_shadowmarks,overlays,4,Performance,
2,smallmultiples_overlays_shadowmarks,overlays,4,Effort,
2,smallmultiples_overlays_shadowmarks,overlays,4,Frustration,
2,smallmultiples_overlays_shadowmarks,overlays,4,Guessing,
2,smallmultiples_overlays_shadowmarks,overlays,4,PerceivedAccuracy,
2,smallmultiples_overlays_shadowmarks,overlays,4,TaskDifficulty,
2,smallmultiples_overlays_shadowmarks,overlays,4,TechniqueDifficulty,
2,smallmultiples_overlays_shadowmarks,shadowmarkers,4,MentalDemand,
2,smallmultiples_overlays_shadowmarks,shadowmarkers,4,PhysicalDemand,
2,smallmultiples_overlays_shadowmarks,shadowmarkers,4,TemporalDemand,
2,smallmultiples_overlays_shadowmarks,shadowmarkers,4,Performance,
2,smallmultiples_overlays_shadowmarks,shadowmarkers,4,Effort,
2,smallmultiples_overlays_shadowmarks,shadowmarkers,4,Frustration,
2,smallmultiples_overlays_shadowmarks,shadowmarkers,4,Guessing,
2,smallmultiples_overlays_shadowmarks,shadowmarkers,4,PerceivedAccuracy,
2,smallmultiples_overlays_shadowmarks,shadowmarkers,4,TaskDifficulty,
2,smallmultiples_overlays_shadowmarks,shadowmarkers,4,TechniqueDifficulty,
