pID,condition,task,interaction,trial,attempt,dataset,category,videos,loadTime,elapsedTime,totalCorrect,falseNegatives,falsePositives,incompleteTrial
9,1,4,smallMultiples,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,902,42929,1,0,0,FALSE
9,1,4,smallMultiples,1,1,scatterplots,scatterplots,scatterplot-27;scatterplot-36;scatterplot-64;scatterplot-88;scatterplot-3;scatterplot-19;scatterplot-61;scatterplot-72;scatterplot-95;,885,19158,0,1,1,FALSE
9,1,4,smallMultiples,1,2,scatterplots,scatterplots,scatterplot-27;scatterplot-36;scatterplot-64;scatterplot-88;scatterplot-3;scatterplot-19;scatterplot-61;scatterplot-72;scatterplot-95;,885,28510,0,1,1,FALSE
9,1,4,smallMultiples,1,3,scatterplots,scatterplots,scatterplot-27;scatterplot-36;scatterplot-64;scatterplot-88;scatterplot-3;scatterplot-19;scatterplot-61;scatterplot-72;scatterplot-95;,885,35670,0,1,1,FALSE
9,1,4,smallMultiples,1,4,scatterplots,scatterplots,scatterplot-27;scatterplot-36;scatterplot-64;scatterplot-88;scatterplot-3;scatterplot-19;scatterplot-61;scatterplot-72;scatterplot-95;,885,40358,1,0,0,FALSE
9,1,4,smallMultiples,2,1,scatterplots,scatterplots,scatterplot-6;scatterplot-85;scatterplot-10;scatterplot-94;scatterplot-68;scatterplot-21;scatterplot-16;scatterplot-92;scatterplot-90;,844,6271,0,1,1,FALSE
9,1,4,smallMultiples,2,2,scatterplots,scatterplots,scatterplot-6;scatterplot-85;scatterplot-10;scatterplot-94;scatterplot-68;scatterplot-21;scatterplot-16;scatterplot-92;scatterplot-90;,844,11663,0,1,1,FALSE
9,1,4,smallMultiples,2,3,scatterplots,scatterplots,scatterplot-6;scatterplot-85;scatterplot-10;scatterplot-94;scatterplot-68;scatterplot-21;scatterplot-16;scatterplot-92;scatterplot-90;,844,18566,0,1,1,FALSE
9,1,4,smallMultiples,2,4,scatterplots,scatterplots,scatterplot-6;scatterplot-85;scatterplot-10;scatterplot-94;scatterplot-68;scatterplot-21;scatterplot-16;scatterplot-92;scatterplot-90;,844,22575,0,1,1,FALSE
9,1,4,smallMultiples,2,5,scatterplots,scatterplots,scatterplot-6;scatterplot-85;scatterplot-10;scatterplot-94;scatterplot-68;scatterplot-21;scatterplot-16;scatterplot-92;scatterplot-90;,844,25535,0,1,1,FALSE
